bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
38846,1197,3260822,2724.16207184628
21518,918,3258406,3549.46187363834
19140,768,3256122,4239.7421875
29955,1443,3253671,2254.79625779626
16820,817,3252090,3980.52631578947
34105,679,3248442,4784.15611192931
32295,1329,3246787,2443.03009781791
30687,1472,3246626,2205.58831521739
35035,2183,3243964,1486.0119102153
29794,2286,3242131,1418.25503062117
34308,2336,3239011,1386.56292808219
26495,1317,3236204,2457.2543659833
33849,2673,3228742,1207.90946502058
39621,829,3227721,3893.51145958987
21234,842,3220039,3824.27434679335
35328,2517,3214322,1277.04489471593
34163,2570,3212243,1249.9
31104,1505,3205761,2130.07375415282
35177,2416,3205186,1326.64983443709
30010,1172,3204980,2734.62457337884
35680,732,3199261,4370.57513661202
21439,606,3198276,5277.68316831683
34190,2512,3186552,1268.53184713376
39146,1001,3185476,3182.29370629371
27447,1361,3182282,2338.19397501837
32204,1377,3179895,2309.29193899782
30165,1308,3177921,2429.60321100917
35375,2327,3177763,1365.60507090675
27286,1027,3177513,3093.97565725414
18297,810,3175258,3920.07160493827
33099,1422,3171845,2230.55203938115
30694,1026,3165808,3085.5828460039
35131,2579,3161866,1226.00465296627
38861,1353,3155835,2332.47228381375
35327,2354,3154241,1339.94944774851
33798,2275,3147121,1383.34989010989
18573,865,3145430,3636.33526011561
21528,926,3145344,3396.69978401728
19511,654,3142376,4804.85626911315
30321,1648,3140599,1905.70327669903
15876,1168,3140282,2688.59760273973
28739,1029,3135368,3047.00485908649
34184,1965,3133310,1594.55979643766
28261,1049,3128366,2982.23641563394
29939,1432,3126339,2183.19762569832
35096,2673,3124606,1168.95099139544
35296,2727,3120756,1144.39163916392
15400,983,3118341,3172.26958290946
27773,1061,3117095,2937.88407163054
30462,209,3116675,14912.3205741627
15319,1024,3113000,3040.0390625
31969,1810,3111434,1719.02430939227
35336,2847,3108661,1091.90762205831
34054,1782,3104664,1742.23569023569
33590,1949,3094339,1587.65469471524
34099,2545,3093101,1215.36385068762
34042,2651,3090700,1165.86193889098
35093,2712,3089721,1139.27765486726
29378,1149,3086823,2686.53002610966
15472,744,3085411,4147.05779569892
19672,667,3079827,4617.43178410795
20707,857,3068237,3580.2065344224
34848,2715,3067435,1129.81031307551
34019,2395,3061817,1278.42045929019
33778,2413,3061113,1268.59220886863
19211,708,3051015,4309.34322033898
27063,1961,3047138,1553.86945436002
29862,1279,3043893,2379.90070367475
27127,1112,3042784,2736.31654676259
29774,2274,3040889,1337.24230430959
28694,1321,3038941,2300.48523845572
34295,3064,3038230,991.589425587467
32267,1463,3038050,2076.58920027341
35008,2412,3031966,1257.03399668325
34241,2502,3030880,1211.38289368505
21147,846,3024828,3575.44680851064
21375,703,3018844,4294.23044096728
33852,2399,3017851,1257.96206752814
21541,920,3016572,3278.88260869565
38280,1308,3012475,2303.11544342508
34062,2517,3010893,1196.22288438617
21580,809,3010517,3721.28182941904
28716,1160,3003912,2589.57931034483
33833,2268,2997851,1321.80379188713
19531,1073,2995592,2791.79123951538
34410,2680,2995077,1117.56604477612
34377,2305,2991561,1297.85726681128
25349,994,2985018,3003.03621730382
33757,2580,2983340,1156.33333333333
31213,1547,2982742,1928.0814479638
38264,1064,2979101,2799.90695488722
34985,2444,2976872,1218.03273322422
35158,1897,2968076,1564.61570901423
35181,1932,2963269,1533.783126294
33900,2528,2957938,1170.07041139241
34238,2589,2957647,1142.38972576284
32226,1497,2953935,1973.23647294589
38120,1204,2952708,2452.41528239203
33748,2101,2950601,1404.37934316992
34940,2752,2949234,1071.66933139535
35382,2419,2946967,1218.25837122778
30425,1322,2944507,2227.31240544629
38110,1319,2943002,2231.2373009856
26018,896,2939492,3280.68303571429
27128,176,2939320,16700.6818181818
33940,2369,2937284,1239.88349514563
19688,731,2925429,4001.95485636115
31054,1480,2920165,1973.08445945946
29954,1640,2918126,1779.34512195122
33770,2338,2916569,1247.46321642429
31273,1059,2915782,2753.33522190746
33822,2643,2908900,1100.60537268256
17908,806,2908273,3608.27915632754
34262,2612,2907809,1113.25
35257,2450,2907040,1186.54693877551
33838,2723,2903970,1066.45978699963
35316,3021,2903870,961.228070175439
35033,2752,2902512,1054.69186046512
18841,718,2899923,4038.88997214485
35152,2955,2898288,980.808121827411
35005,2259,2894557,1281.34440017707
30173,1265,2891546,2285.80711462451
16744,770,2886269,3748.4012987013
25592,1037,2885348,2782.39922854388
34259,2707,2884722,1065.65275212412
35380,2555,2881809,1127.9095890411
34945,2429,2878772,1185.16755866612
33764,2434,2878656,1182.6852917009
34971,2672,2876155,1076.40531437126
34972,2643,2875567,1087.99356791525
34234,2060,2873353,1394.83155339806
18982,987,2872619,2910.45491388045
34107,2631,2867483,1089.88331432915
35329,2767,2866303,1035.88832670763
27833,1156,2865821,2479.0839100346
32694,1385,2862709,2066.93790613718
21320,862,2860147,3318.03596287703
15487,696,2858495,4107.03304597701
31026,1365,2857994,2093.7684981685
29763,1700,2856015,1680.00882352941
34975,2726,2855844,1047.6316947909
32908,1297,2846242,2194.48111025443
30557,1555,2840061,1826.40578778135
29748,1663,2839487,1707.44858689116
34014,2656,2837317,1068.26694277108
34051,2598,2835869,1091.5585065435
35586,2269,2833396,1248.74217717056
34125,2491,2833362,1137.43958249699
