start.station.id,weekday,DayTime,end.station.id,start.station.name,start.station.latitude,start.station.longitude,end.station.name,end.station.latitude,end.Station.Longitude,Count
3183,1,afternoon,3483,Exchange Place,40.7162469,-74.0334588,Montgomery St,40.71942,-74.05099,7
3183,1,afternoon,3638,Exchange Place,40.7162469,-74.0334588,Washington St,40.7242941,-74.0354826,93
3183,1,afternoon,3639,Exchange Place,40.7162469,-74.0334588,Harborside,40.7192517,-74.034234,183
3183,1,afternoon,3640,Exchange Place,40.7162469,-74.0334588,Journal Square,40.73367,-74.0625,14
3183,1,afternoon,3677,Exchange Place,40.7162469,-74.0334588,Glenwood Ave,40.7275514673001,-74.0710607171059,4
3183,1,afternoon,3678,Exchange Place,40.7162469,-74.0334588,Fairmount Ave,40.7257261374256,-74.0719592571259,2
3183,1,afternoon,3679,Exchange Place,40.7162469,-74.0334588,Bergen Ave,40.722103786686,-74.0714550018311,1
3183,1,afternoon,3681,Exchange Place,40.7162469,-74.0334588,Grand St,40.7151776773203,-74.0376833081245,101
3183,1,morning,3183,Exchange Place,40.7162469,-74.0334588,Exchange Place,40.7162469,-74.0334588,34
3183,1,morning,3184,Exchange Place,40.7162469,-74.0334588,Paulus Hook,40.7141454,-74.0335519,97
3183,1,morning,3185,Exchange Place,40.7162469,-74.0334588,City Hall,40.7177325,-74.043845,25
3183,1,morning,3186,Exchange Place,40.7162469,-74.0334588,Grove St PATH,40.7195861164717,-74.0431174635887,21
3183,1,morning,3187,Exchange Place,40.7162469,-74.0334588,Warren St,40.7211236,-74.03805095,15
3183,1,morning,3190,Exchange Place,40.7162469,-74.0334588,Garfield Ave Station,40.7104670233797,-74.0700387954712,2
3183,1,morning,3192,Exchange Place,40.7162469,-74.0334588,Liberty Light Rail,40.7112423,-74.0557013,14
3183,1,morning,3193,Exchange Place,40.7162469,-74.0334588,Lincoln Park,40.7246050998869,-74.0784059464932,1
3183,1,morning,3194,Exchange Place,40.7162469,-74.0334588,McGinley Square,40.7253399253558,-74.0676221251488,4
3183,1,morning,3195,Exchange Place,40.7162469,-74.0334588,Sip Ave,40.7307426253066,-74.0637838840485,2
3183,1,morning,3197,Exchange Place,40.7162469,-74.0334588,Hs Don't Use,40.7192517074099,-74.0342339873314,2
3183,1,morning,3199,Exchange Place,40.7162469,-74.0334588,Newport Pkwy,40.7287448,-74.0321082,39
3183,1,morning,3202,Exchange Place,40.7162469,-74.0334588,Newport PATH,40.7272235,-74.0337589,42
3183,1,morning,3203,Exchange Place,40.7162469,-74.0334588,Hamilton Park,40.727595966,-74.044247311,5
3183,1,morning,3205,Exchange Place,40.7162469,-74.0334588,JC Medical Center,40.7165397809919,-74.0496379137039,4
3183,1,morning,3206,Exchange Place,40.7162469,-74.0334588,Hilltop,40.7311689,-74.0575736,3
3183,1,morning,3211,Exchange Place,40.7162469,-74.0334588,Newark Ave,40.72152515,-74.046304543,2
3183,1,morning,3212,Exchange Place,40.7162469,-74.0334588,Christ Hospital,40.734785818,-74.050443636,1
3183,1,morning,3213,Exchange Place,40.7162469,-74.0334588,Van Vorst Park,40.71848892,-74.047726625,9
3183,1,morning,3214,Exchange Place,40.7162469,-74.0334588,Essex Light Rail,40.7127742,-74.0364857,27
3183,1,morning,3215,Exchange Place,40.7162469,-74.0334588,JSQ Don't Use,0,0,1
3183,1,morning,3220,Exchange Place,40.7162469,-74.0334588,5 Corners Library,40.7349610200095,-74.0595030784607,1
3183,1,morning,3225,Exchange Place,40.7162469,-74.0334588,Baldwin at Montgomery,40.7236589,-74.0641943,1
3183,1,morning,3267,Exchange Place,40.7162469,-74.0334588,Morris Canal,40.7124188237569,-74.0385255217552,56
3183,1,morning,3268,Exchange Place,40.7162469,-74.0334588,Lafayette Park,40.713463826692,-74.0628585219383,1
3183,1,morning,3269,Exchange Place,40.7162469,-74.0334588,Brunswick & 6th,40.7260117296463,-74.0503889322281,2
3183,1,morning,3270,Exchange Place,40.7162469,-74.0334588,Jersey & 6th St,40.7252891078113,-74.0455716848373,4
3183,1,morning,3272,Exchange Place,40.7162469,-74.0334588,Jersey & 3rd,40.7233315864644,-74.0459525585175,5
3183,1,morning,3273,Exchange Place,40.7162469,-74.0334588,Manila & 1st,40.72165072488,-74.0428841114044,3
3183,1,morning,3275,Exchange Place,40.7162469,-74.0334588,Columbus Drive,40.7183551982321,-74.0389144420624,19
3183,1,morning,3276,Exchange Place,40.7162469,-74.0334588,Marin Light Rail,40.7145840353589,-74.0428170561791,11
