"","stationId","stationName","latitude","longitude","totalHires","manHires","womanHires"
"80","499","Broadway & W 60 St",40.76915505,-73.98191841,7882,5503,2014
"81","493","W 45 St & 6 Ave",40.7568,-73.98291,7851,6617,1000
"82","309","Murray St & West St",40.7149787,-74.013012,7813,5902,1690
"83","3746","6 Ave & Broome St",40.7243083216022,-74.0047303587198,7749,5745,1780
"84","522","E 51 St & Lexington Ave",40.75714758,-73.97207836,7749,6327,1212
"85","362","Broadway & W 37 St",40.75172632,-73.98753523,7747,5507,2086
"86","440","E 45 St & 3 Ave",40.75255434,-73.97282625,7686,6234,1319
"87","228","E 48 St & 3 Ave",40.7546011026,-73.971878855,7565,6440,995
"88","526","E 33 St & 5 Ave",40.74765947,-73.98490707,7515,5779,1544
"89","3461","Murray St & Greenwich St",40.7148515052625,-74.0112233161926,7438,5729,1460
"90","116","W 17 St & 8 Ave",40.74178,-74.0015,7433,5702,1566
"91","3686","Gansevoort St & Hudson St",40.739448201304,-74.0050703287125,7397,4836,2197
"92","3463","E 16 St & Irving Pl",40.7353670556054,-73.9879739284515,7334,5644,1563
"93","284","Greenwich Ave & 8 Ave",40.73902,-74.00264,7297,4950,2154
"94","477","W 41 St & 8 Ave",40.75640548,-73.9900262,7292,6129,886
"95","3708","W 13 St & 5 Ave",40.735445,-73.99431,7222,4581,2483
"96","446","W 24 St & 7 Ave",40.74487634,-73.99529885,7194,4942,2007
"97","505","6 Ave & W 33 St",40.74901271,-73.98848395,7111,5156,1510
"98","127","Barrow St & Hudson St",40.73172428,-74.00674436,7090,4895,2006
"99","504","1 Ave & E 16 St",40.73221853,-73.98165557,6999,4872,1923
"100","297","E 15 St & 3 Ave",40.734232,-73.986923,6962,5107,1672
"101","3440","Fulton St & Adams St",40.6924182925785,-73.989494740963,6945,4587,2088
"102","482","W 15 St & 7 Ave",40.73935542,-73.99931783,6908,5050,1598
"103","368","Carmine St & 6 Ave",40.73038599,-74.00214988,6810,4805,1717
"104","3156","E 72 St & York Ave",40.76663814,-73.95348296,6778,4930,1675
"105","387","Centre St & Chambers St",40.71273266,-74.0046073,6719,4620,1696
"106","485","W 37 St & 5 Ave",40.75038009,-73.98338988,6705,5372,1186
"107","3435","Grand St & Elizabeth St",40.718822,-73.99596,6689,4633,1814
"108","324","DeKalb Ave & Hudson Ave",40.689888,-73.981013,6630,4583,1873
"109","3724","7 Ave & Central Park South",40.7667405590595,-73.9790689945221,6614,4123,2054
"110","462","W 22 St & 10 Ave",40.74691959,-74.00451887,6580,4944,1479
"111","303","Mercer St & Spring St",40.72362738,-73.99949601,6542,4836,1486
"112","334","W 20 St & 7 Ave",40.74238787,-73.99726235,6537,4692,1666
"113","3427","Lafayette St & Jersey St",40.7243052725033,-73.9960098266602,6513,4526,1831
"114","3119","Vernon Blvd & 50 Ave",40.74232744,-73.95411749,6487,5091,1232
"115","405","Washington St & Gansevoort St",40.739323,-74.008119,6476,4275,1949
"116","382","University Pl & E 14 St",40.73492695,-73.99200509,6441,4503,1774
"117","351","Front St & Maiden Ln",40.70530954,-74.00612572,6287,4403,1689
"118","3507","Park Ave & E 124 St",40.8045555,-73.9396861,6248,4842,1279
"119","3429","Hanson Pl & Ashland Pl",40.6850680730818,-73.9779075980186,6130,4319,1670
"120","328","Watts St & Greenwich St",40.72405549,-74.00965965,6109,4401,1583
"121","268","Howard St & Centre St",40.71910537,-73.99973337,6051,4635,1216
"122","461","E 20 St & 2 Ave",40.73587678,-73.98205027,6049,4474,1454
"123","494","W 26 St & 8 Ave",40.74734825,-73.99723551,6038,4269,1497
"124","174","E 25 St & 1 Ave",40.7381765,-73.97738662,5976,4356,1512
"125","3093","N 6 St & Bedford Ave",40.71745169,-73.95850939,5960,4254,1400
"126","3132","E 59 St & Madison Ave",40.76350532,-73.97109243,5907,4714,976
"127","530","11 Ave & W 59 St",40.7714967105444,-73.9904603362083,5901,4264,1430
"128","312","Allen St & Stanton St",40.722055,-73.989111,5881,4038,1654
"129","508","W 46 St & 11 Ave",40.76341379,-73.99667444,5880,4648,968
"130","507","E 25 St & 2 Ave",40.73912601,-73.97973776,5847,4491,1225
"131","447","8 Ave & W 52 St",40.76370739,-73.9851615,5800,4447,1165
"132","335","Washington Pl & Broadway",40.72903917,-73.99404649,5796,4390,1196
"133","3472","W 15 St & 10 Ave",40.742753828659,-74.0074735879898,5719,4132,1415
"134","3256","Pier 40 - Hudson River Park",40.7277140777778,-74.011295735836,5633,3771,1449
"135","251","Mott St & Prince St",40.72317958,-73.99480012,5582,3640,1674
"136","415","Pearl St & Hanover Square",40.7047177,-74.00926027,5566,4204,1253
"137","540","Lexington Ave & E 29 St",40.7431155537649,-73.9821535348892,5469,4193,1139
"138","534","Water - Whitehall Plaza",40.70255065,-74.0127234,5361,4257,971
"139","259","South St & Whitehall St",40.70122128,-74.01234218,5303,3887,1228
"140","489","10 Ave & W 28 St",40.75066,-74.00177,5272,3598,1524
"141","524","W 43 St & 6 Ave",40.75527307,-73.98316936,5269,4305,796
"142","223","W 13 St & 7 Ave",40.73781509,-73.99994661,5261,3506,1633
"143","360","William St & Pine St",40.70717936,-74.00887308,5237,3921,1207
"144","427","Bus Slip & State St",40.701907,-74.013942,5183,3711,1254
"145","3715","Driggs Ave & N 9 St",40.7181696945421,-73.9552013576031,5107,3482,1519
"146","539","Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,5007,2997,1831
"147","239","Willoughby St & Fleet St",40.69196566,-73.9813018,5000,3648,1196
"148","2000","Front St & Washington St",40.70255088,-73.98940236,4994,3520,1110
"149","2017","E 43 St & 2 Ave",40.75022392,-73.97121414,4993,3705,1159
"150","323","Lawrence St & Willoughby St",40.69236178,-73.98631746,4981,3585,1267
"151","2023","E 55 St & Lexington Ave",40.75968085,-73.97031366,4976,4424,480
"152","72","W 52 St & 11 Ave",40.76727216,-73.99392888,4975,4018,852
"153","161","LaGuardia Pl & W 3 St",40.72917025,-73.99810231,4966,3430,1245
"154","434","9 Ave & W 18 St",40.74317,-74.00366,4950,3772,950
"155","479","9 Ave & W 45 St",40.76019252,-73.9912551,4819,3913,754
"156","143","Clinton St & Joralemon St",40.69239502,-73.99337909,4738,2911,1641
"157","528","2 Ave & E 31 St",40.74290902,-73.97706058,4735,3443,1047
"158","3318","2 Ave & E 96 St",40.7839636,-73.9471673,4700,3233,1309
"159","403","E 2 St & 2 Ave",40.72502876,-73.99069656,4644,3115,1363
"160","307","Canal St & Rutgers St",40.71427487,-73.98990025,4623,2714,1603
"161","448","W 37 St & 10 Ave",40.75660359,-73.9979009,4574,3523,917
"162","3092","Berry St & N 8 St",40.7190095,-73.95852515,4556,2855,1540
"163","467","Dean St & 4 Ave",40.68312489,-73.97895137,4492,3414,942
"164","478","11 Ave & W 41 St",40.76030096,-73.99884222,4475,3647,683
"165","3367","5 Ave & E 103 St",40.7922553,-73.95249933,4460,2876,1488
"166","316","Fulton St & William St",40.70955958,-74.00653609,4442,3265,1028
"167","330","Reade St & Broadway",40.71450451,-74.00562789,4412,3256,1069
"168","280","E 10 St & 5 Ave",40.73331967,-73.99510132,4401,3087,1164
"169","336","Sullivan St & Washington Sq",40.73047747,-73.99906065,4398,3011,1139
"170","314","Cadman Plaza West & Montague St",40.69383,-73.990539,4357,2782,1494
"171","2008","Little West St & 1 Pl",40.70569254,-74.01677685,4349,2910,1154
"172","531","Forsyth St & Broome St",40.71893904,-73.99266288,4345,2712,1524
"173","453","W 22 St & 8 Ave",40.74475148,-73.99915362,4340,3076,1145
"174","3660","W 16 St & 8 Ave",40.7410215090027,-74.001384973526,4315,3418,825
"175","501","FDR Drive & E 35 St",40.744219,-73.97121214,4313,2648,1510
"176","432","E 7 St & Avenue A",40.72621788,-73.98379855,4302,2974,1162
"177","279","Peck Slip & Front St",40.707873,-74.00167,4293,2704,1407
"178","483","E 12 St & 3 Ave",40.73223272,-73.98889957,4281,3123,1034
"179","3142","1 Ave & E 62 St",40.7612274,-73.96094022,4273,2728,1409
"180","516","E 47 St & 1 Ave",40.75206862,-73.96784384,4223,2778,1372
"181","386","Centre St & Worth St",40.71494807,-74.00234482,4219,2850,1159
"182","529","W 42 St & 8 Ave",40.7575699,-73.99098507,4197,3356,656
"183","217","Old Fulton St",40.70277159,-73.99383605,4178,2733,1113
"184","3232","Bond St & Fulton St",40.6896218879033,-73.9830426871777,4177,2900,1135
"185","254","W 11 St & 6 Ave",40.73532427,-73.99800419,4166,2633,1304
"186","3416","7 Ave & Park Pl",40.6776147,-73.97324283,4146,2800,1171
"187","79","Franklin St & W Broadway",40.71911552,-74.00666661,4140,2903,1150
"188","3656","E 2 St & Avenue A",40.7230774906867,-73.9858362078667,4109,2844,1135
"189","438","St Marks Pl & 1 Ave",40.72779126,-73.98564945,4105,2840,1104
"190","3244","University Pl & E 8 St",40.7314372408523,-73.9949034154415,4099,2819,1079
"191","2002","Wythe Ave & Metropolitan Ave",40.716887,-73.963198,4059,2574,1311
"192","264","Maiden Ln & Pearl St",40.70706456,-74.00731853,4043,2865,1046
"193","3409","Bergen St & Smith St",40.6867443,-73.99063168,4020,2587,1299
"194","325","E 19 St & 3 Ave",40.73624527,-73.98473765,3994,2718,1178
"195","320","Leonard St & Church St",40.717571,-74.005549,3961,2516,1334
"196","3223","E 55 St & 3 Ave",40.7589965596051,-73.9686539769173,3960,3487,413
"197","260","Broad St & Bridge St",40.70365182,-74.01167797,3959,2982,841
"198","390","Duffield St & Willoughby St",40.69221589,-73.9842844,3959,3251,615
"199","3134","3 Ave & E 62 St",40.76312584,-73.96526895,3950,3252,521
"200","513","W 56 St & 10 Ave",40.768254,-73.988639,3939,3200,655
"201","3016","Kent Ave & N 7 St",40.7203677529846,-73.9616507291794,3921,2336,1350
"202","146","Hudson St & Reade St",40.71625008,-74.0091059,3912,2567,1205
"203","3345","Madison Ave & E 99 St",40.7894854155321,-73.9524292945862,3911,2725,1073
"204","3164","Columbus Ave & W 72 St",40.7770575,-73.97898475,3909,2549,1238
"205","3712","W 35 St & Dyer Ave",40.754691750226,-73.9974018931389,3904,3132,694
"206","3086","Graham Ave & Conselyea St",40.715143,-73.944507,3883,2733,1023
"207","3158","W 63 St & Broadway",40.77163851,-73.98261428,3857,3022,703
"208","439","E 4 St & 2 Ave",40.7262807,-73.98978041,3813,2422,1220
"209","487","E 20 St & FDR Drive",40.73314259,-73.97573881,3803,2826,922
"210","3721","31 St & Newtown Ave",40.7675487799971,-73.9209334552288,3799,2580,1050
"211","3711","E 13 St & Avenue A",40.7296672939298,-73.9806796610355,3788,2772,912
"212","361","Allen St & Hester St",40.71605866,-73.99190759,3768,2545,1043
"213","454","E 51 St & 1 Ave",40.75455731,-73.96592976,3739,2680,944
"214","2003","1 Ave & E 18 St",40.7338121919663,-73.9805442094803,3710,2785,801
"215","495","W 47 St & 10 Ave",40.76269882,-73.99301222,3701,2870,550
"216","3258","W 27 St & 10 Ave",40.7501815632568,-74.0021842718124,3696,2514,1091
"217","376","John St & William St",40.70862144,-74.00722156,3685,2755,874
"218","321","Cadman Plaza E & Red Cross Pl",40.69991755,-73.98971773,3661,2457,1013
"219","412","Forsyth St & Canal St",40.7158155,-73.99422366,3630,2165,1242
"220","422","W 59 St & 10 Ave",40.770513,-73.988038,3630,2517,993
"221","363","West Thames St",40.70834698,-74.01713445,3582,2494,977
"222","355","Bayard St & Baxter St",40.71602118,-73.99974372,3576,2445,867
"223","3078","Broadway & Roebling St",40.7092482627616,-73.9606314897537,3571,2321,1133
"224","224","Spruce St & Nassau St",40.71146364,-74.00552427,3569,2462,931
"225","3690","Park Pl & Church St",40.7133418427591,-74.0093551576138,3554,2505,962
"226","470","W 20 St & 8 Ave",40.74345335,-74.00004031,3552,2597,844
"227","249","Harrison St & Hudson St",40.71870987,-74.0090009,3539,2853,640
"228","267","Broadway & W 36 St",40.75097711,-73.98765428,3529,2570,877
"229","437","Macon St & Nostrand Ave",40.6809833854,-73.9500479759,3502,2473,923
"230","3457","E 58 St & Madison Ave",40.7630259428052,-73.9720952510834,3495,2780,660
"231","3137","5 Ave & E 73 St",40.77282817,-73.96685276,3488,1964,1139
"232","311","Norfolk St & Broome St",40.7172274,-73.98802084,3487,2197,1187
"233","3526","31 St & 23 Ave",40.7747878,-73.9125551,3449,2708,581
"234","3725","2 Ave & E 72 St",40.7687620293096,-73.9584079384804,3405,2249,919
"235","480","W 53 St & 10 Ave",40.76669671,-73.99061728,3379,2688,579
"236","392","Jay St & Tech Pl",40.695065,-73.987167,3369,2427,723
"237","3167","Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,3349,2265,952
"238","476","E 31 St & 3 Ave",40.74394314,-73.97966069,3349,2562,692
"239","3155","Lexington Ave & E 63 St",40.76440023,-73.96648977,3341,2552,638
"240","2021","W 45 St & 8 Ave",40.75929124,-73.98859651,3327,2412,708
"241","391","Clark St & Henry St",40.69760127,-73.99344559,3305,2411,771
"242","326","E 11 St & 1 Ave",40.72953837,-73.98426726,3297,2219,977
"243","296","Division St & Bowery",40.71413089,-73.9970468,3279,2025,1089
"244","3486","Schermerhorn St & Bond St",40.6884174275408,-73.9845165610313,3278,2109,979
"245","252","MacDougal St & Washington Sq",40.73226398,-73.99852205,3276,2134,1009
"246","3140","1 Ave & E 78 St",40.77140426,-73.9535166,3256,2075,979
"247","385","E 55 St & 2 Ave",40.75797322,-73.96603308,3235,2576,612
"248","460","S 4 St & Wythe Ave",40.71285887,-73.96590294,3197,1926,1069
"249","401","Allen St & Rivington St",40.72019576,-73.98997825,3196,2139,900
"250","3163","Central Park West & W 68 St",40.7734066,-73.97782542,3188,2036,806
"251","265","Stanton St & Chrystie St",40.72229346,-73.99147535,3186,2264,741
"252","3112","Milton St & Franklin St",40.72906,-73.95779,3130,2143,890
"253","380","W 4 St & 7 Ave S",40.73401143,-74.00293877,3106,2176,755
"254","3788","E 12 St & 4 Av",40.73269,-73.98974,3097,2039,930
"255","383","Greenwich Ave & Charles St",40.735238,-74.000271,3091,1928,1051
"256","237","E 11 St & 2 Ave",40.73047309,-73.98672378,3089,2311,641
"257","3129","Queens Plaza North & Crescent St",40.75110165,-73.94073717,3089,2172,678
"258","3159","W 67 St & Broadway",40.77492513,-73.98266566,3084,2143,886
"259","3658","W 18 St & 9 Ave",40.7435337324616,-74.0036755800247,3036,2355,586
"260","441","E 52 St & 2 Ave",40.756014,-73.967416,3021,2313,642
"261","3783","Cliff St & Fulton St",40.70838,-74.00495,3003,2192,738
"262","83","Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,2958,2297,536
"263","301","E 2 St & Avenue B",40.72217444,-73.98368779,2924,1863,926
