"","stationId","stationName","latitude","longitude","hires"
"95","3048","Putnam Ave & Nostrand Ave",40.68402,-73.94977,293
"96","3049","Cambridge Pl & Gates Ave",40.68488,-73.96304,560
"97","305","E 58 St & 3 Ave",40.76095756,-73.96724467,2911
"98","3050","Putnam Ave & Throop Ave",40.6851532,-73.94111,343
"99","3052","Lewis Ave & Madison St",40.686312,-73.935775,625
"100","3053","Marcy Ave & Lafayette Ave",40.6900815,-73.947915,468
"101","3054","Greene Ave & Throop Ave",40.6894932,-73.942061,299
"102","3055","Greene Ave & Nostrand Ave",40.6883337,-73.950916,540
"103","3056","Kosciuszko St & Nostrand Ave",40.69072549,-73.95133465,662
"104","3057","Kosciuszko St & Tompkins Ave",40.69128258,-73.9452416,555
"105","3058","Lewis Ave & Kosciuszko St",40.69237074,-73.93705428,391
"106","3059","Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,246
"107","3060","Willoughby Ave & Tompkins Ave",40.69425403,-73.94626915,413
"108","3061","Throop Ave & Myrtle Ave",40.69622937,-73.94371094,208
"109","3062","Myrtle Ave & Marcy Ave",40.69539817,-73.94954908,388
"110","3063","Nostrand Ave & Myrtle Ave",40.69527008,-73.95238108,403
"111","3064","Myrtle Ave & Lewis Ave",40.69681963,-73.93756926,824
"112","3065","Union Ave & Wallabout St",40.70029511,-73.95032283,370
"113","3066","Tompkins Ave & Hopkins St",40.69957608,-73.94708417,304
"114","3067","Broadway & Whipple St",40.7016657,-73.9437303,519
"115","3068","Humboldt St & Varet St",40.7031724,-73.940636,437
"116","3069","Lorimer St & Broadway",40.70411791,-73.94818595,517
"117","307","Canal St & Rutgers St",40.71427487,-73.98990025,3738
"118","3070","McKibbin St & Manhattan Ave",40.70510918,-73.94407279,390
"119","3071","Boerum St & Broadway",40.70538077,-73.94976519,627
"120","3072","Leonard St & Boerum St",40.70583339,-73.94644578,403
"121","3074","Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,1074
"122","3075","Division Ave & Marcy Ave",40.70708701,-73.95796783,356
"123","3076","Scholes St & Manhattan Ave",40.70870368,-73.9448625,1192
"124","3077","Stagg St & Union Ave",40.70877084,-73.95095259,1119
"125","3078","Broadway & Roebling St",40.7092482627616,-73.9606314897537,1358
"126","308","St James Pl & Oliver St",40.71307916,-73.99851193,1629
"127","3080","S 4 St & Rodney St",40.70934,-73.95608,1068
"128","3081","Graham Ave & Grand St",40.711863,-73.944024,1074
"129","3082","Hope St & Union Ave",40.71167351,-73.95141312,1568
"130","3083","Bushwick Ave & Powers St",40.71247661,-73.94100005,730
"131","3085","Roebling St & N 4 St",40.71469,-73.95739,1728
"132","3086","Graham Ave & Conselyea St",40.715143,-73.944507,1652
"133","3087","Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,1495
"134","3088","Union Ave & Jackson St",40.7160751,-73.952029,718
"135","309","Murray St & West St",40.7149787,-74.013012,3313
"136","3092","Berry St & N 8 St",40.7190095,-73.95852515,3152
"137","3093","N 6 St & Bedford Ave",40.71745169,-73.95850939,3207
"138","3094","Graham Ave & Withers St",40.7169811,-73.94485918,906
"139","3095","Graham Ave & Herbert St",40.71929301,-73.94500379,422
"140","3096","Union Ave & N 12 St",40.71924,-73.95242,2525
"141","310","State St & Smith St",40.68926942,-73.98912867,1272
